variant,split,bin,eps_bin_low,eps_bin_high,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
cosserat_sweep_withleak,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.9998250315403671,0.0008018062104977504,0.9995515232994443,0.00019383104468947277,0.0,0.0,1.673956104687282,0.38702323494916036
cosserat_sweep_withleak,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,1.0,0.0,0.9993832508722941,0.0003541697632110428,0.0,0.0,1.9325047589483715,0.5754065329037212
cosserat_sweep_withleak,val,high,0.07693279558667006,0.1322877816046032,30,3,10,1.0,0.0,0.999484392007192,0.0005359348199575595,0.0,0.0,1.666620683670044,0.7932381005487006
cosserat_sweep_withleak,test,low,0.03521462958431333,0.053377653707698994,39,3,13,1.0,0.0,0.9995186894367902,0.0002461017815315772,0.0,0.0,1.7163760631512373,0.4691517925321543
cosserat_sweep_withleak,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,1.0,0.0,0.9995901064995008,0.00021546391657642063,0.0,0.0,1.5810141196617713,0.4437089089530096
cosserat_sweep_withleak,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.9713658331524749,0.09012566892418401,0.9990231215953826,0.0018524768870133849,0.0,0.0,1.9760176440080006,1.612616313304787
cosserat_sweep_leak_dir_only,val,low,0.03521462958431333,0.053377653707698994,21,3,7,1.0,0.0,0.999668918904804,0.00016813420941567752,0.0,0.0,1.4309424388976324,0.36414122520483766
cosserat_sweep_leak_dir_only,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,1.0,0.0,0.9996745274180457,0.00022982147554315721,0.0,0.0,1.3726350296111334,0.5153921496313993
cosserat_sweep_leak_dir_only,val,high,0.07693279558667006,0.1322877816046032,30,3,10,1.0,0.0,0.9996104915936788,0.0001836249956298845,0.0,0.0,1.558831920226415,0.36335421492421954
cosserat_sweep_leak_dir_only,test,low,0.03521462958431333,0.053377653707698994,39,3,13,1.0,0.0,0.9996485496178652,0.000176785509841821,0.0,0.0,1.472548029361627,0.378023323822722
cosserat_sweep_leak_dir_only,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,1.0,0.0,0.99963745704064,0.0001787015012694803,0.0,0.0,1.4997194791451478,0.367133219193047
cosserat_sweep_leak_dir_only,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.9477218225419665,0.15959643636314214,0.9979536215464274,0.005264236671211128,0.0,0.0,2.315862403313319,2.8958767343089553
cosserat_sweep_leak_mag_only,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.07360161315071005,0.19681602432189513,0.102810290597734,0.5721108572681453,0.4390224707568649,0.3270022852672647,81.45253808157784,40.07641999653313
cosserat_sweep_leak_mag_only,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,0.15571248349756972,0.23322101956653704,0.15373915008136205,0.8722202489798466,0.457872520072437,0.4875114617481035,76.53973320552281,64.21114588934645
cosserat_sweep_leak_mag_only,val,high,0.07693279558667006,0.1322877816046032,30,3,10,0.039262589876059406,0.0882148503975775,-0.15913797269264857,0.7770275450255104,0.5762630526267071,0.4535138864935646,101.39334506988526,55.599062323473746
cosserat_sweep_leak_mag_only,test,low,0.03521462958431333,0.053377653707698994,39,3,13,0.008892114471123723,0.018362226433458383,0.03419090845646002,0.5531612235623334,0.45381126656846044,0.3339855961456068,87.03149506984613,35.70069169748354
cosserat_sweep_leak_mag_only,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,0.023850723916072798,0.06823112275172956,0.2258855338471058,0.5693163200866758,0.3668432938854875,0.339514187919194,75.36579092954977,38.479421675209565
cosserat_sweep_leak_mag_only,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.06998314431048139,0.11393673354770839,0.32588224709033964,0.7824097282607889,0.31067923340383546,0.428895322142089,66.8621982574463,56.477665811500856
cosserat_sweep_noleak,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.06927818312536849,0.20680885995099146,0.07476845738433656,0.5802002116561226,0.4590093637854581,0.3242598340617777,83.12153094155448,41.02595709021734
cosserat_sweep_noleak,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,0.15584163671593973,0.21898776389124802,0.15857907420112974,0.8630712592882894,0.4567704478059315,0.4887843459230941,75.64443717684064,63.472029248888504
cosserat_sweep_noleak,val,high,0.07693279558667006,0.1322877816046032,30,3,10,0.017123635715478383,0.059620535127093,-0.21640197485685347,0.7317983581628207,0.6194661058390132,0.44549211189496574,105.13126529057821,51.97139440828093
cosserat_sweep_noleak,test,low,0.03521462958431333,0.053377653707698994,39,3,13,0.007397888074860401,0.023663494585745105,0.07075881673835027,0.5383377973709909,0.43570200846911983,0.3096289301895055,84.67971302912785,34.91336333068678
cosserat_sweep_noleak,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,0.010175856681827841,0.025604667911888004,0.22419017570045513,0.5521579305229352,0.353899174726684,0.3346965591464211,76.13605900299855,36.8645529070346
cosserat_sweep_noleak,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.057168468084164134,0.08964191497655456,0.3263695468505224,0.7775092590939072,0.3066054028711005,0.4283951548941924,67.11236947377523,55.594652284232154
