variant,split,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
cosserat_sweep_withleak,val,72,3,24,0.9999489675326071,0.0004330248450507459,0.9994744724697537,0.0004092601713584278,0.0,0.0,1.7463097034229174,0.6379285774820457
cosserat_sweep_withleak,test,108,3,36,0.9920460647645764,0.048656845898129124,0.9994068211979337,0.00101299533400084,0.0,0.0,1.7396180226846978,0.9369833847255633
cosserat_sweep_leak_dir_only,val,72,3,24,1.0,0.0,0.9996462100081973,0.00019375858396196305,0.0,0.0,1.467223395076063,0.4155534665319978
cosserat_sweep_leak_dir_only,test,108,3,36,0.9854782840394352,0.08635261455464023,0.9991737306118011,0.002848009410501699,0.0,0.0,1.7166139345478129,1.5846221446586453
cosserat_sweep_leak_mag_only,val,72,3,24,0.08324269063743969,0.17835375858217553,0.008519431576132774,0.75753308508133,0.501703977586341,0.4302988497620529,88.32830623785655,54.80596590319914
cosserat_sweep_leak_mag_only,test,108,3,36,0.03126356505939913,0.076904164497727,0.1844393394680487,0.6357311617382687,0.3826472672205466,0.36578214444078055,77.21629723796138,43.69679234438025
cosserat_sweep_noleak,val,72,3,24,0.07279479566849756,0.17424545246939155,-0.02210779281126128,0.742815510049811,0.5252133224804109,0.42943539412013026,90.11143457227283,53.70175461332319
cosserat_sweep_noleak,test,108,3,36,0.02222620451884968,0.055542620850237374,0.19716756583915818,0.6211357274187813,0.3703019280626793,0.35547862440705325,76.71468697653876,42.453632070057594
