variant,split,n_predictions,n_seeds,n_cases,pp_dir_5deg_mean,pp_dir_5deg_std,pp_dir_10deg_mean,pp_dir_10deg_std,pp_dir_15deg_mean,pp_dir_15deg_std,pp_dir_30deg_mean,pp_dir_30deg_std,pp_peak_0.10_mean,pp_peak_0.10_std,pp_peak_0.20_mean,pp_peak_0.20_std,pp_peak_0.50_mean,pp_peak_0.50_std,cos_signed_median_mean,cos_signed_median_std,cos_signed_mean_mean,cos_signed_mean_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std,angle_mean_deg_mean,angle_mean_deg_std,angle_p90_deg_mean,angle_p90_deg_std,mag_ratio_median_mean,mag_ratio_median_std,mag_ratio_mean_mean,mag_ratio_mean_std,peak_mag_true_mean,peak_mag_true_std,peak_mag_pred_mean,peak_mag_pred_std,peak_mag_rel_mean,peak_mag_rel_std
womersley_leak_dir_only,test,18,3,6,0.07038186516996449,0.1479380887583231,0.30884954232200235,0.2750098491031762,0.5819764184846947,0.35084966035343423,0.9475333745560629,0.09179509838189175,0.0032310956790123457,0.013708377991753092,0.03121141975308642,0.08584194643889231,0.15470679012345678,0.3216662325994004,0.9633335868517557,0.031295446030666356,0.9534159931871626,0.0328536425060335,0.0,0.0,14.349244700537788,6.2909328927875885,15.228325949774849,6.252718666633732,20.604904890060425,7.646200028054688,2.1526374854147434,1.3897680523882503,2.174377315574222,1.38615780578172,0.10531015197436015,0.18839881024527966,0.08651988580822945,0.012451126106262225,3.0770992636680603,2.9617545563899426
womersley_leak_dir_only,val,12,3,4,0.17672830024323277,0.2288078456199652,0.47751858520234575,0.4005628587681587,0.6293487298363029,0.37555417857596085,0.8622662102321903,0.2852345361034349,0.08855712519025875,0.14597551211751467,0.23986099219939117,0.35394090535156697,0.49228159181290476,0.5100561035716747,0.9560464769601822,0.06492761053731447,0.947104940811793,0.06330752006566319,0.00030637254901960784,0.0010613056418926944,13.92038599650065,10.52183112998624,14.899638215700785,10.042780381777009,19.61091462771098,11.558904078414367,1.4372614721457164,0.5453317048378478,1.4304924060901005,0.5468053508692933,0.04181738942861557,0.021397486604549626,0.08422789474328359,0.015662085637200417,1.4610438247521718,1.1274639589580173
womersley_leak_mag_only,test,18,3,6,0.0007908950617283951,0.0032267291637482266,0.0075520833333333325,0.029896432906583587,0.03274498456790123,0.08586552159313467,0.18573495370370371,0.3550761475165397,8.680555555555556e-05,0.0003682847818679935,0.00028935185185185184,0.0011044530910617463,0.029899691358024692,0.08114563877616514,0.26721856577528846,0.5456194999745599,0.2644540493686994,0.5330895106605112,0.24189814814814814,0.42186521613765887,71.64202001359727,37.57158658759716,71.78971746232774,36.67854992022968,79.45507547590468,36.604217318270365,5.603437315258715,8.66345795463815,5.638940590537256,8.656724707595544,0.10531015197436015,0.18839881024527966,0.2003533248272207,0.16972049284466226,8.047284553034437,11.463454524109224
womersley_leak_mag_only,val,12,3,4,0.0006995506535947713,0.002104882317235562,0.0009523080065359477,0.00255099855577836,0.0022484340958605666,0.004989707877102224,0.006324891067538127,0.011015770724988777,0.00027403322440087144,0.0008458428720319774,0.000764229302832244,0.0025399834899998905,0.003851783769063181,0.008655958292746927,0.0023625786416232586,0.7033300555045167,-0.008619042423864206,0.6916886337747377,0.4496876702069717,0.49491246574812126,93.38423569997151,51.22710637974107,93.88736565907796,50.293542807014795,100.99271615346272,49.821950803760906,3.3709355232616267,4.06550795727554,3.3815063312649727,4.069892939200827,0.04181738942861557,0.021397486604549626,0.18576212941358486,0.1636642220618156,4.740176277856032,6.381920856529989
womersley_noleak,test,18,3,6,0.006394675925925925,0.02061081206538559,0.041087962962962965,0.10798780222180016,0.11267361111111111,0.24048834615467538,0.2364969135802469,0.38545035033006586,0.000318287037037037,0.001350377533515976,0.00470679012345679,0.012784537400091327,0.04372106481481481,0.10606157483364681,0.3055845681164,0.602902866502352,0.27970300656225944,0.5835501985234764,0.33077844896837477,0.44501073163134547,67.33405420515273,41.927429531651725,68.8861329290602,40.80023899218338,83.7370491027832,43.92760138139918,1.2844590474334028,0.8938847910479358,1.3330495245754719,0.8912678849595707,0.10531015197436015,0.18839881024527966,0.08168066168824832,0.016188591475380917,2.530766286783748,2.329272195832081
womersley_noleak,val,12,3,4,0.0070338031045751636,0.017567343081497468,0.017799394063180828,0.0430193669155515,0.040167143246187365,0.0765778596658434,0.14771667347494555,0.3080915146400697,0.003796466503267974,0.01031670986700778,0.016198597494553376,0.038205078831089874,0.06797726034858388,0.1664313354347638,0.06726592903335889,0.6963713074979878,0.054207321566840015,0.6810319506555821,0.3997421364379085,0.43279548483098856,88.25510692596436,52.50815684556388,88.53213834762573,51.80562992565394,100.89194027582805,50.10709996128646,0.9921362400054932,0.531851213535779,1.0135794480641682,0.547410052068434,0.04181738942861557,0.021397486604549626,0.07671027847876151,0.01695744819901897,1.2892259297271569,1.091016674167353
womersley_withleak,test,18,3,6,0.05527915186876374,0.12902343018960252,0.23054815660409267,0.2765898242133824,0.4536157090309488,0.3299108460034481,0.9226061749534923,0.14804269693962166,3.8580246913580246e-05,0.00016368212527466378,0.005246913580246914,0.01877084402137937,0.17777777777777778,0.34286135610812174,0.9522924423217773,0.03848639188561898,0.9425260921319326,0.0384664726131009,0.0,0.0,16.4391606648763,7.06299030437939,17.369367678960163,6.776715900136555,23.84945265452067,7.702234161896024,2.042706500324938,1.3498513902341966,2.088984520485004,1.356210563036371,0.10531015197436015,0.18839881024527966,0.09227796064482795,0.015485709614513067,3.37262460258272,3.126712357052463
womersley_withleak,val,12,3,4,0.2049411783358701,0.26653421958410045,0.3905105999306115,0.4243640269340884,0.5279177788409884,0.413081159144469,0.841788178123228,0.29862427805964414,0.12021697425164891,0.2059659165307945,0.27319234367072553,0.40746757978162396,0.4978518014892411,0.5044677638828076,0.9453230996926626,0.06744788056095266,0.9388007422288259,0.06575727479046525,5.7077625570776254e-05,0.00019772269492795402,15.82138043642044,11.29266188442146,16.45517365137736,10.713406726196329,21.34481128056844,12.398525077512824,1.3722921013832092,0.5170463546935876,1.3643035342295964,0.5205606227804118,0.04181738942861557,0.021397486604549626,0.09486257346967857,0.019407438164961096,1.8625389908750851,1.4700776790821963
