variant,resolution,seed,case,n_nodes,n_chunks,mesh_L,U_he,div_pred,div_true,div_analytical,helm_pred,helm_true
noleak,2x,2026,wm_031_R09p4_L239p5_a10p9,184480,1,0.0003913846302569458,0.03902824595570564,0.006286430172622204,1.7260020968024037e-08,0.0,nan,nan
noleak,2x,2026,wm_032_R12p2_L282p2_a06p3,184480,1,0.0005099590339922747,0.03107747994363308,0.011398076079785824,4.941882636444461e-08,0.0,nan,nan
noleak,2x,2026,wm_033_R16p9_L167p1_a02p1,184480,1,0.0007045739679166213,0.5033658742904663,0.0012221052311360836,1.075494583346881e-05,0.0,nan,nan
noleak,4x,777,wm_028_R16p9_L170p9_a11p3,1474880,6,0.0003516401990481285,0.020370087347497123,0.005169861833621688,2.996110700639002e-06,0.0,nan,1.563433592969482e-05
noleak,4x,777,wm_029_R15p7_L140p1_a07p1,1474880,6,0.0003277275482190352,0.012784953960216503,0.007380650146913263,1.8958840255480707e-06,0.0,nan,nan
noleak,4x,777,wm_030_R16p8_L186p3_a07p9,1474880,6,0.0003509913694044737,0.010799693218342598,0.007990873841413641,1.2654479673387065e-06,0.0,nan,nan
noleak,4x,777,wm_031_R09p4_L239p5_a10p9,1474880,6,0.00019569161991617957,0.0390050690437886,0.0008398132697746584,4.770556228033033e-09,0.0,nan,nan
noleak,4x,777,wm_032_R12p2_L282p2_a06p3,1474880,6,0.0002549778620896646,0.03101596259779249,0.0016436566990418841,1.311838712818254e-08,0.0,nan,nan
noleak,4x,777,wm_033_R16p9_L167p1_a02p1,1474880,6,0.0003522860684375669,0.5046759263311656,0.00021265066806330668,1.6372781207616755e-06,0.0,nan,nan
noleak,4x,1337,wm_028_R16p9_L170p9_a11p3,1474880,6,0.0003516401990481285,0.020370087347497123,0.003932577381409918,2.996110700639002e-06,0.0,nan,1.563433592969482e-05
noleak,4x,1337,wm_029_R15p7_L140p1_a07p1,1474880,6,0.0003277275482190352,0.012784953960216503,0.009020131601896917,1.8958840255480707e-06,0.0,nan,nan
noleak,4x,1337,wm_030_R16p8_L186p3_a07p9,1474880,6,0.0003509913694044737,0.010799693218342598,0.007612030871427927,1.2654479673387065e-06,0.0,nan,nan
