variant,split,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
cosserat_sweep_withleak_nobc,val,72,3,24,0.999857646275167,0.001207911409878389,0.9994687164823214,0.00040814247923678677,0.0,0.0,1.7575260599454243,0.6367350233324854
cosserat_sweep_withleak_nobc,test,108,3,36,0.9919776510270979,0.04925091543404918,0.9993966624692634,0.0010566626580106036,0.0,0.0,1.7471507920159235,0.9585793299206327
cosserat_sweep_leak_dir_only_nobc,val,72,3,24,1.0,0.0,0.9996380284428596,0.0002033602729151047,0.0,0.0,1.482306569814682,0.4266584500211895
cosserat_sweep_leak_dir_only_nobc,test,108,3,36,0.9865585009469902,0.07990765791242511,0.9992700213635409,0.002221580059885491,0.0,0.0,1.697330481476254,1.391296445838612
cosserat_sweep_leak_mag_only_nobc,val,72,3,24,0.07514023154226994,0.1672554699628818,0.00619310973626044,0.7616793220381164,0.502727136979544,0.43156704335178964,88.54238002167807,55.18591761840045
cosserat_sweep_leak_mag_only_nobc,test,108,3,36,0.03741845451475094,0.09156286990011885,0.1844686378026381,0.6443144872860731,0.38728219142994724,0.3685932225355516,77.06939404982107,44.5828608313043
cosserat_sweep_noleak_nobc,val,72,3,24,0.07318042747146493,0.16127553529197478,-0.024638643074366782,0.7492858829578112,0.5276225362340871,0.425954487300808,90.33372108803854,54.37105808454836
cosserat_sweep_noleak_nobc,test,108,3,36,0.025346881377779355,0.07236690241289041,0.20070066760052685,0.6283687568669557,0.37293878295047983,0.35931886708343397,76.30372050073412,43.189595465351445
