variant,split,bin,eps_bin_low,eps_bin_high,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
cosserat_sweep_withleak_nobc,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.999511930086287,0.0022366173240200267,0.999543235415504,0.0002009899457136638,0.0,0.0,1.6881227550052462,0.39614802487740153
cosserat_sweep_withleak_nobc,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,1.0,0.0,0.9993775969459897,0.00036015740597072525,0.0,0.0,1.9385297951244174,0.5878640823057368
cosserat_sweep_withleak_nobc,val,high,0.07693279558667006,0.1322877816046032,30,3,10,1.0,0.0,0.9994803369045258,0.0005294750203337467,0.0,0.0,1.6794057587782543,0.7826357107346953
cosserat_sweep_withleak_nobc,test,low,0.03521462958431333,0.053377653707698994,39,3,13,1.0,0.0,0.9995112312145722,0.0002502792182693515,0.0,0.0,1.7290170788764954,0.4750752902482026
cosserat_sweep_withleak_nobc,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,1.0,0.0,0.9995910357206296,0.00021955507432018214,0.0,0.0,1.5757791659770868,0.4556069063427992
cosserat_sweep_withleak_nobc,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.9711195436975524,0.09125052405864598,0.998995037873586,0.0019336657323653051,0.0,0.0,1.9935077329476674,1.6492024890920227
cosserat_sweep_leak_dir_only_nobc,val,low,0.03521462958431333,0.053377653707698994,21,3,7,1.0,0.0,0.9996618060838609,0.0001695113986712512,0.0,0.0,1.4473475927398318,0.3633870119839457
cosserat_sweep_leak_dir_only_nobc,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,1.0,0.0,0.9996669803346906,0.00023840205409904905,0.0,0.0,1.3881972091538566,0.5220493116771979
cosserat_sweep_leak_dir_only_nobc,val,high,0.07693279558667006,0.1322877816046032,30,3,10,1.0,0.0,0.9996011177698771,0.00019952470094672598,0.0,0.0,1.572654406229655,0.38847229387439225
cosserat_sweep_leak_dir_only_nobc,test,low,0.03521462958431333,0.053377653707698994,39,3,13,1.0,0.0,0.9996378727448292,0.0001829297703442946,0.0,0.0,1.4937858061912732,0.38758486711094325
cosserat_sweep_leak_dir_only_nobc,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,1.0,0.0,0.9996323096446502,0.0001815817567889131,0.0,0.0,1.5105949838956196,0.368621994114168
cosserat_sweep_leak_dir_only_nobc,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.9516106034091646,0.14768171572641686,0.9983208398024241,0.004102735352931221,0.0,0.0,2.204694706201553,2.5294832818946227
cosserat_sweep_leak_mag_only_nobc,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.041171585294211784,0.11920910029372768,0.1020939972783838,0.5824188793699842,0.4464542937663567,0.3335811543960492,81.65031387692406,40.39119526155612
cosserat_sweep_leak_mag_only_nobc,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,0.16441239975785202,0.24941564512137598,0.15421252023606075,0.8798953761296024,0.45462822953349324,0.48814151542053424,76.35062101909092,64.89347068868624
cosserat_sweep_leak_mag_only_nobc,val,high,0.07693279558667006,0.1322877816046032,30,3,10,0.03642776616500319,0.08734623117120925,-0.1645510988930861,0.7744771627180733,0.5757873624410106,0.45324008686078004,101.9010576248169,55.67909532739605
cosserat_sweep_leak_mag_only_nobc,test,low,0.03521462958431333,0.053377653707698994,39,3,13,0.009999412891940647,0.018784364549501633,0.025461570097085755,0.5649993943699886,0.4745825378042505,0.3357182867654863,87.44456188495343,36.55898582863568
cosserat_sweep_leak_mag_only_nobc,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,0.030632599466495988,0.07511838057247115,0.23737593633958545,0.5804249292712156,0.3556118099467023,0.3429634871290754,74.45560680291591,39.824376851338016
cosserat_sweep_leak_mag_only_nobc,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.08188482018713578,0.14127432250673247,0.32239833772182463,0.7839266634821517,0.3149632370715715,0.4271519386949465,66.97959928512573,56.96379653364499
cosserat_sweep_noleak_nobc,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.045814291450516145,0.12645611449011665,0.07694322083677564,0.5935890953775727,0.46236836817397503,0.331841870068787,83.21135525476365,41.621317074493625
cosserat_sweep_noleak_nobc,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,0.16306349764159467,0.2223443888286681,0.16193723110925584,0.8732981920485934,0.4538961500500447,0.48927247118806416,75.16913906733195,64.38330731091487
cosserat_sweep_noleak_nobc,val,high,0.07693279558667006,0.1322877816046032,30,3,10,0.029418573567038257,0.10090860561640819,-0.22634905974070232,0.7285601525102087,0.6249089242049951,0.4316929297634395,105.9345845858256,52.240824734632675
cosserat_sweep_noleak_nobc,test,low,0.03521462958431333,0.053377653707698994,39,3,13,0.010411614955395292,0.03366120909727912,0.06533541114857563,0.5521314487554639,0.4523742491289377,0.31293319294307176,84.94087453988882,35.93192875719953
cosserat_sweep_noleak_nobc,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,0.013544755859213192,0.03593256725018111,0.24048575586997545,0.5584767170063211,0.3406825987420343,0.3405484355790337,74.89581988408015,37.80111701258113
cosserat_sweep_noleak_nobc,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.06010549090101465,0.12003712988849767,0.32495488623778024,0.7784335535565385,0.31160571638946366,0.42697973416901114,66.90569105148316,55.892147035388774
