variant,split,bin,eps_bin_low,eps_bin_high,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
sage_cosserat_withleak,val,low,0.03521462958431333,0.053377653707698994,21,3,7,1.0,0.0,0.9996174488748822,0.00022993477343607126,0.0,0.0,1.5099197399048578,0.49358115496425364
sage_cosserat_withleak,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,1.0,0.0,0.9995532688640413,0.0002711444954789279,0.0,0.0,1.6327717360996066,0.5298919802231202
sage_cosserat_withleak,val,high,0.07693279558667006,0.1322877816046032,30,3,10,1.0,0.0,0.999690846602122,0.00018061817504664226,0.0,0.0,1.3676112592220306,0.4062780170613194
sage_cosserat_withleak,test,low,0.03521462958431333,0.053377653707698994,39,3,13,1.0,0.0,0.9995699998659965,0.0002503213302878257,0.0,0.0,1.6125870423439221,0.4784622974072535
sage_cosserat_withleak,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,0.9998904867862352,0.0006839098007594532,0.9996716639934442,0.0001765723503380622,0.0,0.0,1.417678768818195,0.3871870779628277
sage_cosserat_withleak,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.9933242595113099,0.023780368025217116,0.9993477205435435,0.0008047949543553048,0.0,0.0,1.8073776523272196,1.0257803037202866
sage_cosserat_leak_dir_only,val,low,0.03521462958431333,0.053377653707698994,21,3,7,1.0,0.0,0.9997090044475737,0.0001613006024367087,0.0,0.0,1.3357624894096738,0.3643394747822038
sage_cosserat_leak_dir_only,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,1.0,0.0,0.999725375856672,0.0001692718419504912,0.0,0.0,1.2852826856431507,0.39849481583084795
sage_cosserat_leak_dir_only,val,high,0.07693279558667006,0.1322877816046032,30,3,10,1.0,0.0,0.9997597674528758,0.000181269623255631,0.0,0.0,1.180596802632014,0.4357666730302062
sage_cosserat_leak_dir_only,test,low,0.03521462958431333,0.053377653707698994,39,3,13,1.0,0.0,0.9996651090108432,0.0001766415071942528,0.0,0.0,1.4193223745394976,0.4350779977325933
sage_cosserat_leak_dir_only,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,1.0,0.0,0.9997389989021497,0.00014870620171668545,0.0,0.0,1.25859313362684,0.36481636605819934
sage_cosserat_leak_dir_only,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.9955797524142848,0.01709851209637284,0.9995064536730448,0.0007883921589198311,0.0,0.0,1.5044477542241415,1.005822515761254
sage_cosserat_leak_mag_only,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.10619888038724479,0.25525254596054614,0.027229872487840198,0.581753854273657,0.48990841968998344,0.31279915067756575,85.78853375571114,42.78987206920073
sage_cosserat_leak_mag_only,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,0.12538619603953036,0.21517690473820703,0.09799112956083957,0.8238216387618189,0.4558741758797069,0.4628071697189486,81.63132930937267,60.486542114770174
sage_cosserat_leak_mag_only,val,high,0.07693279558667006,0.1322877816046032,30,3,10,0.049601938843106534,0.15287017066140104,-0.15964876463015873,0.7429388795964325,0.6049392021827484,0.4390390772299853,100.00788148244222,53.18172405250153
sage_cosserat_leak_mag_only,test,low,0.03521462958431333,0.053377653707698994,39,3,13,0.019455978330883465,0.04299763237972014,0.0636717654669132,0.5513486134466231,0.46675771226580876,0.3198483319417993,84.77794241293883,36.600251600784446
sage_cosserat_leak_mag_only,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,0.023058492310470413,0.04315740427321105,0.2513151413355118,0.5461047556021912,0.3504428518044532,0.34424699397731967,73.43779603028909,35.86872590244524
sage_cosserat_leak_mag_only,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.06325954404008192,0.0992777484861842,0.3414864222208659,0.7447575842607845,0.31608591750315107,0.4260542274213669,65.0230639775594,52.90429468218652
sage_cosserat_noleak,val,low,0.03521462958431333,0.053377653707698994,21,3,7,0.08208500773646947,0.19691124976128419,0.0642395940210138,0.5755184185815623,0.4737725616702398,0.32256074841260485,83.42646485283261,40.81902848989855
sage_cosserat_noleak,val,mid,0.053377653707698994,0.07693279558667006,21,3,7,0.1317814187888457,0.2219984798104109,0.09390583261847496,0.86779350926408,0.46485688653891444,0.4881108950385023,81.61304637363979,63.595077374622434
sage_cosserat_noleak,val,high,0.07693279558667006,0.1322877816046032,30,3,10,0.011812447149640078,0.04287469744764643,-0.2692132864690696,0.670428215547928,0.6624622199052518,0.39494191442016136,107.65836270650227,48.022902711316966
sage_cosserat_noleak,test,low,0.03521462958431333,0.053377653707698994,39,3,13,0.01879477705471749,0.04235358909859027,0.09607537837328915,0.5424505188917945,0.460965419861762,0.3167863181949657,82.99065325810359,35.052197447207774
sage_cosserat_noleak,test,mid,0.053377653707698994,0.07693279558667006,39,3,13,0.027167569603970224,0.05950106410732948,0.336058205853288,0.49277278587044504,0.3018379303026007,0.3065968161855711,68.04033773373335,33.053614143721155
sage_cosserat_noleak,test,high,0.07693279558667006,0.1322877816046032,30,3,10,0.04318788716517243,0.07928084540884205,0.33606676558653514,0.7493576210549691,0.3141132485619541,0.4282903341290259,66.36977831522624,53.20258257996077
