variant,split,bin,De_bin_low,De_bin_high,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
sage_cosserat_withleak,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,1.0,0.0,0.9996336301167806,0.0002551028843263107,0.0,0.0,1.4629822152632255,0.5249108575476701
sage_cosserat_withleak,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,1.0,0.0,0.9995689436241433,0.00022271461279102937,0.0,0.0,1.6213732715006228,0.45750710363275926
sage_cosserat_withleak,val,high,0.22800358547929211,0.34798551749954276,18,3,6,1.0,0.0,0.9997133877542284,0.00017218950126270875,0.0,0.0,1.3192922572294872,0.38688222608149364
sage_cosserat_withleak,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,1.0,0.0,0.9996775731895909,0.00019612574382381763,0.0,0.0,1.386585775649909,0.4478178269264168
sage_cosserat_withleak,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,0.9998705752928234,0.0007434883383858244,0.9995905937570514,0.0002643706198837939,0.0,0.0,1.5601170063018799,0.5121073510352628
sage_cosserat_withleak,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.9952316139366499,0.020231381862027404,0.9994049285139356,0.0006847931776798782,0.0,0.0,1.7895358190650033,0.8500999331272996
sage_cosserat_leak_dir_only,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,1.0,0.0,0.9997503713325218,0.0001863746595627696,0.0,0.0,1.2061595894672252,0.43741028485507744
sage_cosserat_leak_dir_only,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,1.0,0.0,0.999698089228736,0.0001872700154182586,0.0,0.0,1.3401954196117543,0.4397612389395729
sage_cosserat_leak_dir_only,val,high,0.22800358547929211,0.34798551749954276,18,3,6,1.0,0.0,0.9997670319345262,0.00010961949003490878,0.0,0.0,1.2060148616631825,0.2821961364320125
sage_cosserat_leak_dir_only,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,1.0,0.0,0.9997775970083295,0.00014665113546471548,0.0,0.0,1.1350012015212665,0.42121926971106266
sage_cosserat_leak_dir_only,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,1.0,0.0,0.9996643806948806,0.0001787106786010621,0.0,0.0,1.4305813655708775,0.40254777465583524
sage_cosserat_leak_dir_only,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.9968426802959177,0.01452154663114062,0.999532584633146,0.000665416582712029,0.0,0.0,1.5454264935993014,0.835367383709654
sage_cosserat_leak_mag_only,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,0.20913085042517648,0.29370551275400536,0.32976124711610655,0.762780022622604,0.32912684647687684,0.44196960421633674,62.82322145391394,56.305977486825476
sage_cosserat_leak_mag_only,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,0.012598927639270131,0.05182264574302974,-0.3298598599654657,0.5338260080977951,0.7031291925594783,0.304214654087417,112.09699383488407,37.28562302775527
sage_cosserat_leak_mag_only,val,high,0.22800358547929211,0.34798551749954276,18,3,6,0.02025782013974532,0.04995225283355094,-0.11984218605276611,0.7138037457639742,0.5632609732480203,0.4018023764224096,99.62265311347113,50.46461290280075
sage_cosserat_leak_mag_only,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,0.04689214481228684,0.07353466760183333,0.5806736505844377,0.4866073892980107,0.1718539261921753,0.3161744917501236,48.68315789193818,33.916403925517606
sage_cosserat_leak_mag_only,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,0.03241758475716552,0.07769966743267762,-0.07628084013633656,0.6665188990688568,0.5417182662780794,0.3929131223722826,94.15204215772224,46.43521580030199
sage_cosserat_leak_mag_only,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.022348323819603125,0.046319056615042646,0.1400980782650766,0.5215523372245825,0.42394088505515104,0.2959933994815511,81.13200278509231,33.28452976920729
sage_cosserat_noleak,val,low,0.0014617429887284563,0.12171880377304037,27,3,9,0.15832432914425193,0.24626133932491065,0.26553106087225453,0.7858631605625203,0.3782515291388306,0.45532620180942784,66.67088370853,56.88418410775081
sage_cosserat_noleak,val,mid,0.12171880377304037,0.22800358547929211,27,3,9,0.0037445960124683894,0.013096923291160852,-0.34256068816305035,0.47366103114103086,0.7044030144857678,0.27992319717322967,113.48102400037978,32.71318886060535
sage_cosserat_noleak,val,high,0.22800358547929211,0.34798551749954276,18,3,6,0.026094855127187348,0.05645312078917162,-0.14864137209951878,0.7595086666701555,0.5751895739825353,0.43003725665931963,101.74883937835693,53.582485352374675
sage_cosserat_noleak,test,low,0.0014617429887284563,0.12171880377304037,33,3,11,0.03047545065587367,0.06461001226996287,0.6344293980774555,0.3934791571175437,0.13540650383377412,0.2717206977173175,46.24900788971872,27.5672262834133
sage_cosserat_noleak,test,mid,0.12171880377304037,0.22800358547929211,33,3,11,0.039499448870348015,0.08294482695157679,-0.045796202421611684,0.6727690206048768,0.5257177563370226,0.3903283460813105,92.34639300722064,47.24713446016971
sage_cosserat_noleak,test,high,0.22800358547929211,0.34798551749954276,42,3,14,0.018547534530444724,0.028444846986850878,0.17881707847118378,0.5111748190481674,0.4132292268483923,0.286689550864308,78.75366115570068,32.51733081398285
