variant,split,n_predictions,n_seeds,n_cases,pp_dir_10deg_mean,pp_dir_10deg_std,cos_signed_median_mean,cos_signed_median_std,frac_flipped_mean,frac_flipped_std,angle_median_deg_mean,angle_median_deg_std
sage_cosserat_withleak,val,72,3,24,1.0,0.0,0.9996293120914035,0.00022864684418082016,0.0,0.0,1.4864563718438148,0.47707749068686894
sage_cosserat_withleak,test,108,3,36,0.9981060812037266,0.012740211501957394,0.9995449676557824,0.00047524391287582466,0.0,0.0,1.5963120018994366,0.6662892551457685
sage_cosserat_leak_dir_only,val,72,3,24,1.0,0.0,0.9997349306941032,0.00017119534743962716,0.0,0.0,1.2563868438204129,0.4052452093329362
sage_cosserat_leak_dir_only,test,108,3,36,0.9987721534484124,0.009121070630250815,0.9996477205444265,0.00044287423694422124,0.0,0.0,1.3849271985667724,0.6316157866758765
sage_cosserat_leak_mag_only,val,72,3,24,0.0882131218091038,0.20512260716741787,-0.02999752633170121,0.7244836993859493,0.5279112579506382,0.41363867252086156,90.50074401166704,52.627089123051924
sage_cosserat_leak_mag_only,test,108,3,36,0.032924543298289435,0.06594637764687726,0.20860261140667177,0.6143877337364642,0.38290184744291433,0.3630625873928986,75.19542332048769,41.89065497007233
sage_cosserat_noleak,val,72,3,24,0.06729956071556695,0.16778288112384981,-0.06604645325892812,0.7204510723157754,0.5497928473548582,0.4115076515085186,92.9941752354304,52.02707338926375
sage_cosserat_noleak,test,108,3,36,0.028594149394851796,0.06077318072978349,0.24940011807807927,0.5969435844720062,0.36271044549322934,0.3525198178499146,72.97501850128174,40.60997802507213
