variant,phase_bin,phase_lo,phase_hi,n_cases,angle_median_deg_mean,angle_median_deg_std,cos_signed_median_mean,cos_signed_median_std,mag_ratio_median_mean,mag_ratio_median_std,frac_flipped_mean,frac_flipped_std,peak_mag_true_mean,peak_mag_true_std,Q_sign_mean,Q_sign_std,case_flip_rate
womersley_leak_dir_only,0,0.0,1.5707963267948966,6,13.584526379903158,7.83114733991382,0.9644813438256582,0.03335387887451668,1.9899450056254864,2.0454672915163745,0.0,0.0,0.26254391204565763,0.2755566326177829,1.0,0.0,0.0
womersley_leak_dir_only,1,1.5707963267948966,3.141592653589793,3,13.72784678141276,5.555340577695991,0.9684049884478251,0.025433203080539098,1.2797123591105144,0.09292160305577857,0.0,0.0,0.03266732767224312,0.0,-1.0,0.0,0.0
womersley_leak_dir_only,2,3.141592653589793,4.71238898038469,9,21.144768079121906,9.07878312962144,0.9224687814712524,0.0659538682935874,1.997099028693305,0.7512801490214024,0.0,0.0,0.0319097979615132,0.007846907663656958,-1.0,0.0,0.0
womersley_leak_dir_only,3,4.71238898038469,6.283185307179586,12,9.361452102661133,3.6459915168796044,0.9848533521095911,0.011002432649846343,1.853492836157481,1.0895550597939214,0.00030637254901960784,0.0010613056418926944,0.036411480978131294,0.025305163247720655,1.0,0.0,0.0
womersley_leak_mag_only,0,0.0,1.5707963267948966,6,79.25995095570882,50.441347224202275,0.1393391266465187,0.7287578111506587,5.219347320497036,10.139385123267948,0.3359375,0.5144161967099209,0.26254391204565763,0.2755566326177829,1.0,0.0,0.3333333333333333
womersley_leak_mag_only,1,1.5707963267948966,3.141592653589793,3,60.92969258626302,5.7985152471079155,0.4842732747395833,0.0894985623249636,3.228133221467336,3.969627671922003,0.008217592592592592,0.014233287886272024,0.03266732767224312,0.0,-1.0,0.0,0.0
womersley_leak_mag_only,2,3.141592653589793,4.71238898038469,9,74.98872714572482,38.584626973781845,0.19521218558980358,0.5544658638559095,4.297303676605225,5.221575185885209,0.4064429012345679,0.46242035983510626,0.0319097979615132,0.007846907663656958,-1.0,0.0,0.3333333333333333
womersley_leak_mag_only,3,4.71238898038469,6.283185307179586,12,89.74332173665364,51.44498278474274,0.06604340610404809,0.7033298976341782,5.136406773080428,8.079779941965509,0.3376795683551198,0.48925770645675737,0.036411480978131294,0.025305163247720655,1.0,0.0,0.3333333333333333
womersley_noleak,0,0.0,1.5707963267948966,6,75.41628996531169,52.37902559943742,0.17828438679377237,0.7740968121334835,1.1478426543374856,1.3067565721356813,0.49560502283105023,0.542993482781473,0.26254391204565763,0.2755566326177829,1.0,0.0,0.5
womersley_noleak,1,1.5707963267948966,3.141592653589793,3,38.767294565836586,18.342566427522097,0.7527034282684326,0.1880379054795418,0.9100449482599894,0.1747363150752318,0.019444444444444445,0.02205066154070476,0.03266732767224312,0.0,-1.0,0.0,0.0
womersley_noleak,2,3.141592653589793,4.71238898038469,9,72.51112747192383,39.92197440272614,0.22341147313515344,0.5510977607384383,1.3076206247011821,0.7223640186644358,0.3815972222222222,0.4248683794889472,0.0319097979615132,0.007846907663656958,-1.0,0.0,0.4444444444444444
womersley_noleak,3,4.71238898038469,6.283185307179586,12,87.47287400563557,52.54945264765484,0.08076612589259942,0.6963795067604229,1.1366767783959706,0.6140337498845698,0.35704827069716777,0.4347920874663757,0.036411480978131294,0.025305163247720655,1.0,0.0,0.3333333333333333
womersley_withleak,0,0.0,1.5707963267948966,6,15.006503740946451,9.306345244744561,0.9553529421488444,0.04613524914664118,1.975739988187949,2.0378157955451552,0.0,0.0,0.26254391204565763,0.2755566326177829,1.0,0.0,0.0
womersley_withleak,1,1.5707963267948966,3.141592653589793,3,16.53812885284424,7.789588220565888,0.9527636170387268,0.04213015204468152,1.2356858253479004,0.2406438143188892,0.0,0.0,0.03266732767224312,0.0,-1.0,0.0,0.0
womersley_withleak,2,3.141592653589793,4.71238898038469,9,22.39729838901096,9.263433737751358,0.9139874908659193,0.06792542598659283,1.8386697504255507,0.6787551683290982,0.0,0.0,0.0319097979615132,0.007846907663656958,-1.0,0.0,0.0
womersley_withleak,3,4.71238898038469,6.283185307179586,12,12.044363558292389,6.402485527965208,0.9724037696917852,0.024468336562730217,1.7605580886205037,1.0195440860956393,5.7077625570776254e-05,0.00019772269492795402,0.036411480978131294,0.025305163247720655,1.0,0.0,0.0
