variant,n_cases,n_forward,n_reverse,cos_signed_median_overall,angle_median_overall_deg,cos_signed_median_forward,case_flip_rate_forward,angle_median_forward_deg,cos_signed_median_reverse,case_flip_rate_reverse,angle_median_reverse_deg
womersley_leak_dir_only,30,18,12,0.9788284599781036,11.808316230773926,0.9839217066764832,0.0,10.288232803344727,0.9524401128292084,0.0,17.56708860397339
womersley_leak_mag_only,30,18,12,0.2512660324573517,75.4409408569336,0.2512660324573517,0.3333333333333333,75.4409408569336,0.28665247559547424,0.25,73.25535202026367
womersley_noleak,30,18,12,0.29854077100753784,72.62932968139648,0.21197332441806793,0.3888888888888889,77.75735092163086,0.4375510513782501,0.3333333333333333,64.00004959106445
womersley_withleak,30,18,12,0.9663335084915161,14.9087553024292,0.971684068441391,0.0,13.659415245056152,0.9426944255828857,0.0,19.351165771484375
