variant,seed,split,case,pp_dir_5deg,pp_dir_10deg,pp_dir_15deg,pp_dir_30deg,pp_peak_0.10,pp_peak_0.20,pp_peak_0.50,cos_signed_median,cos_signed_mean,frac_flipped,angle_median_deg,angle_mean_deg,angle_p90_deg,mag_ratio_median,mag_ratio_mean,peak_mag_true,peak_mag_pred,peak_mag_rel,t_phase,omega,phase_norm,Q_sign,alpha_womersley,R_mm,L_mm,p_amp,wall_frac
withleak,1337,test,0007_H_AO_H_3D_RIGID,0.6169611496425197,0.9610872394672563,0.9987341095084422,1.0,0.2685025050368178,0.6708506427514397,0.9943034927879901,0.9974582195281982,0.9959167838096619,0.0,4.086003303527832,4.444141864776611,8.0890474319458,0.7255764007568359,0.7354931235313416,0.7820733189582825,0.4071550965309143,-0.47939011454582214,nan,nan,nan,nan,nan,nan,nan,nan,0.1507342191032471
withleak,1337,test,0017_H_AO_COA_3D_RIGID,0.8564919864752151,0.9541968986268935,0.9995425967945901,1.0,0.647037193158683,0.9510040448793263,0.9999461878581871,0.999199390411377,0.9975685477256775,0.0,2.2928569316864014,3.0189292430877686,7.259879112243652,1.001755952835083,0.9983172416687012,0.49127718806266785,0.38195329904556274,-0.22252994775772095,nan,nan,nan,nan,nan,nan,nan,nan,0.14574200167894785
withleak,1337,test,0020_H_AO_COA_3D_RIGID,0.6157113843196229,0.8968233050650377,0.9889769150865878,1.0,0.5338366847025627,0.7396784545976032,0.9902017022991891,0.9969667196273804,0.9943210482597351,0.0,4.463789463043213,5.267698287963867,10.124536514282227,0.8844895958900452,0.8820939064025879,1.274560570716858,0.735272228717804,-0.423117071390152,nan,nan,nan,nan,nan,nan,nan,nan,0.19699600625108526
withleak,1337,test,0225_H_AO_COA_3D_FSI_REST,0.7513161540592962,0.9476863397062898,0.9978110279855916,0.9997506234413965,0.8840676087558881,0.9767802715433638,0.999833748960931,0.9972121715545654,0.9956863522529602,0.00011083402604599612,4.279265880584717,4.653867721557617,7.711140155792236,0.6758153438568115,0.6694570779800415,3.9394547939300537,0.7314844727516174,-0.8143183588981628,nan,nan,nan,nan,nan,nan,nan,nan,0.15367222871836364
withleak,1337,test,0226_H_AO_COA_3D_FSI_REST,0.7600238065405338,0.9801612162218603,0.9983920143674561,0.9996032243244372,0.9933592281668964,0.9992795389048992,0.9998851438833897,0.999082088470459,0.9972295761108398,1.044146514638934e-05,2.4550719261169434,3.3204216957092285,6.747120380401611,0.8726532459259033,0.8635256290435791,3.4691216945648193,0.5156697630882263,-0.8513543605804443,nan,nan,nan,nan,nan,nan,nan,nan,0.11705300087708308
withleak,1337,val,0002_H_AO_SVD_3D_RIGID,0.9668878837835172,0.991292217948176,0.9991545842668133,1.0,0.6761916839272379,0.9554747713854955,0.9998590973778022,0.9993871450424194,0.998886227607727,0.0,2.006035566329956,2.2355775833129883,3.446453094482422,0.8933044075965881,0.8889527320861816,0.5705063343048096,0.3770129978656769,-0.3391607105731964,nan,nan,nan,nan,nan,nan,nan,nan,0.060089332262473406
withleak,1337,val,0005_H_AO_SVD_3D_RIGID,0.8290593465528191,0.9931268082704114,0.9990967468774258,1.0,0.05384235410345071,0.18149742431726765,0.805504198715687,0.9991645216941833,0.9979261159896851,0.0,2.342262029647827,2.9568498134613037,6.07514762878418,1.6243927478790283,1.6904029846191406,0.30377253890037537,0.36697468161582947,0.2080574631690979,nan,nan,nan,nan,nan,nan,nan,nan,0.10889029395326781
withleak,1337,val,0234_H_AO_COA_3D_FSI_REST,0.9627091459191485,0.9955892538183939,0.9993985346115992,1.0,0.4807713337950643,0.9245981117632049,1.0,0.9995132684707642,0.998989462852478,0.0,1.787721872329712,2.1155295372009277,3.744731903076172,1.1289622783660889,1.114005446434021,0.5714100003242493,0.4269961416721344,-0.25273245573043823,nan,nan,nan,nan,nan,nan,nan,nan,0.13712002741234067
withleak,1337,val,0241_H_AO_COA_3D_FSI_REST,0.8042053651407288,0.9419797903603476,0.9997485581380731,1.0,0.49582763660364904,0.7916804173934908,0.9999371395345182,0.9986861944198608,0.9968752264976501,0.0,2.9373161792755127,3.625993013381958,8.091501235961914,0.9542261958122253,0.9351476430892944,0.8250396251678467,0.5271622538566589,-0.3610461354255676,nan,nan,nan,nan,nan,nan,nan,nan,0.1273058149439124
withleak,2026,test,0007_H_AO_H_3D_RIGID,0.6622390215201384,0.8794194733182378,0.9840872216378127,1.0,0.3354698949845775,0.7233940128728582,0.9954980655053756,0.9977391958236694,0.9944850206375122,0.0,3.853435516357422,4.738992691040039,10.70934009552002,0.7663397789001465,0.7741772532463074,0.7820733189582825,0.4229869544506073,-0.4591466784477234,nan,nan,nan,nan,nan,nan,nan,nan,0.1507342191032471
withleak,2026,test,0017_H_AO_COA_3D_RIGID,0.8007515762473206,0.9101068171014987,0.988089579278738,1.0,0.4881747818366084,0.9429501609879909,1.0,0.9994817972183228,0.9963365793228149,0.0,1.8446168899536133,3.3928425312042236,9.386906623840332,1.0838854312896729,1.0846428871154785,0.49127718806266785,0.4023216962814331,-0.18106986582279205,nan,nan,nan,nan,nan,nan,nan,nan,0.14574200167894785
withleak,2026,test,0020_H_AO_COA_3D_RIGID,0.753941799351948,0.9145749678299562,0.9846358971178741,1.0,0.5380691772220586,0.7796003162741663,0.994744267530736,0.9990651607513428,0.9958071112632751,0.0,2.477649688720703,3.88246488571167,9.38856029510498,0.9519223570823669,0.932277500629425,1.274560570716858,0.7359495162963867,-0.42258569598197937,nan,nan,nan,nan,nan,nan,nan,nan,0.19699600625108526
withleak,2026,test,0225_H_AO_COA_3D_FSI_REST,0.8894984760321418,0.9651981158215572,0.9977001939595456,0.999778331947908,0.8745912995289554,0.9758935993349959,0.999833748960931,0.9992662072181702,0.9976913332939148,8.312551953449709e-05,2.195082664489746,2.9727795124053955,5.420891284942627,0.6503807902336121,0.6390309929847717,3.9394547939300537,0.643357515335083,-0.8366886973381042,nan,nan,nan,nan,nan,nan,nan,nan,0.15367222871836364
withleak,2026,test,0226_H_AO_COA_3D_FSI_REST,0.6594724971808044,0.9683832435367331,0.9984233387628952,0.9996554316501691,0.9940065990059725,0.9993108633003384,0.9998955853485361,0.9977627992630005,0.9954822659492493,0.0,3.833310127258301,4.810759544372559,8.606560707092285,0.9035254716873169,0.8895214796066284,3.4691216945648193,0.48935437202453613,-0.8589400053024292,nan,nan,nan,nan,nan,nan,nan,nan,0.11705300087708308
withleak,2026,val,0002_H_AO_SVD_3D_RIGID,0.6733736314832819,0.8436967211959815,0.9826126164207916,1.0,0.6446717673415903,0.7631567823477194,0.9995209310845274,0.9998111128807068,0.9944324493408203,0.0,1.1136419773101807,3.9391326904296875,10.961170196533203,0.9370126128196716,0.8794664740562439,0.5705063343048096,0.37324079871177673,-0.34577274322509766,nan,nan,nan,nan,nan,nan,nan,nan,0.060089332262473406
withleak,2026,val,0005_H_AO_SVD_3D_RIGID,0.7214310916660787,0.8559875802695646,0.961075435749065,1.0,0.001637146284665867,0.025855620633688518,0.5219109448874462,0.9990502595901489,0.9941749572753906,0.0,2.497321605682373,4.439990043640137,11.895666122436523,1.8356544971466064,1.9050195217132568,0.30377253890037537,0.38714373111724854,0.27445268630981445,nan,nan,nan,nan,nan,nan,nan,nan,0.10889029395326781
withleak,2026,val,0234_H_AO_COA_3D_FSI_REST,0.7810483723982066,0.9910691502934422,0.9973754237597054,0.9999817737761091,0.3335763496518791,0.8134910509240696,1.0,0.9979928731918335,0.9971954226493835,0.0,3.6307613849639893,3.908811569213867,5.9394378662109375,1.220046043395996,1.1977486610412598,0.5714100003242493,0.44183453917503357,-0.22676442563533783,nan,nan,nan,nan,nan,nan,nan,nan,0.13712002741234067
withleak,2026,val,0241_H_AO_COA_3D_FSI_REST,0.6699039806389766,0.9342950984552041,0.9999214244181478,1.0,0.44318199676268605,0.8201562082567221,1.0,0.9978036284446716,0.9955074191093445,0.0,3.7981317043304443,4.699850559234619,9.273968696594238,0.9975125193595886,0.9759830832481384,0.8250396251678467,0.5118640661239624,-0.3795885145664215,nan,nan,nan,nan,nan,nan,nan,nan,0.1273058149439124
withleak,777,test,0007_H_AO_H_3D_RIGID,0.8165261112200688,0.9952127944086865,0.9996523258509102,1.0,0.48792946672134363,0.8127106103018524,0.9981992262021502,0.998035192489624,0.9975140690803528,0.0,3.5922677516937256,3.6609079837799072,5.72830867767334,0.8235024213790894,0.8146857619285583,0.7820733189582825,0.43209385871887207,-0.44750210642814636,nan,nan,nan,nan,nan,nan,nan,nan,0.1507342191032471
