variant,seed,split,case,R_mm,L_mm,alpha_womersley,kappa,eps,De,pp_dir_10deg,cos_signed_median,frac_flipped,angle_median_deg
subend_withleak,1337,test,sUbend_012__f00,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6208,0.9951239824295044,0.0,5.660379409790039
subend_withleak,1337,test,sUbend_012__f01,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6127,0.9946507215499878,0.0,5.928950309753418
subend_withleak,1337,test,sUbend_012__f02,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.5986,0.9922686815261841,0.0,7.129262447357178
subend_withleak,1337,test,sUbend_012__f03,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.5343,0.987102746963501,0.0,9.212002754211426
subend_withleak,1337,test,sUbend_012__f04,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.527,0.9860913753509521,0.0,9.56719970703125
subend_withleak,1337,test,sUbend_012__f05,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6091,0.9918128848075867,0.0,7.33668327331543
subend_withleak,1337,test,sUbend_012__f06,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.9337,0.9964451193809509,0.0,4.832577705383301
subend_withleak,1337,test,sUbend_012__f07,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.9445,0.9975777864456177,0.0022,3.9886765480041504
subend_withleak,1337,test,sUbend_012__f08,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.923,0.998121976852417,0.0,3.5119848251342773
subend_withleak,1337,test,sUbend_012__f09,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.8346,0.997482180595398,0.0,4.066689491271973
subend_withleak,1337,test,sUbend_012__f10,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.7795,0.9964097142219543,0.0,4.856597900390625
subend_withleak,1337,test,sUbend_012__f11,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.813,0.9961049556732178,0.0,5.058633327484131
subend_withleak,1337,test,sUbend_012__f12,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.7369,0.9951332807540894,0.0,5.654993057250977
subend_withleak,1337,test,sUbend_012__f13,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6793,0.995002269744873,0.0,5.730648040771484
subend_withleak,1337,test,sUbend_012__f14,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6121,0.9920652508735657,0.0,7.222570419311523
subend_withleak,1337,test,sUbend_012__f15,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.5259,0.9867377281188965,0.0,9.341739654541016
subend_withleak,1337,test,sUbend_012__f16,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.4734,0.982476532459259,0.0,10.741968154907227
subend_withleak,1337,test,sUbend_012__f17,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.5377,0.9875032901763916,0.0,9.067524909973145
subend_withleak,1337,test,sUbend_012__f18,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.5852,0.9910249710083008,0.0,7.682103633880615
subend_withleak,1337,test,sUbend_012__f19,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6217,0.9928630590438843,0.0,6.849381923675537
subend_withleak,1337,test,sUbend_012__f20,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.632,0.993780255317688,0.0,6.393640518188477
subend_withleak,1337,test,sUbend_012__f21,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6286,0.9943225979804993,0.0,6.108268737792969
subend_withleak,1337,test,sUbend_012__f22,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6175,0.9938707947731018,0.0,6.3469014167785645
subend_withleak,1337,test,sUbend_012__f23,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6156,0.9945483803749084,0.0,5.985464572906494
subend_withleak,1337,test,sUbend_012__f24,15.559647232294083,316.79895520210266,nan,nan,nan,nan,0.6165,0.994918704032898,0.0,5.778416633605957
subend_withleak,1337,test,sUbend_021__f00,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9611,0.9980714917182922,0.0,3.5589191913604736
subend_withleak,1337,test,sUbend_021__f01,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9683,0.9980137348175049,0.0,3.6118366718292236
subend_withleak,1337,test,sUbend_021__f02,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9529,0.9977387189865112,0.0,3.8538670539855957
subend_withleak,1337,test,sUbend_021__f03,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9497,0.9976887106895447,0.0,3.8962645530700684
subend_withleak,1337,test,sUbend_021__f04,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.8386,0.9955790042877197,0.0,5.389597415924072
subend_withleak,1337,test,sUbend_021__f05,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.6801,0.9924446940422058,0.0,7.047538757324219
subend_withleak,1337,test,sUbend_021__f06,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9982,0.9985390305519104,0.0,3.0974984169006348
subend_withleak,1337,test,sUbend_021__f07,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9808,0.9986350536346436,0.0,2.9939844608306885
subend_withleak,1337,test,sUbend_021__f08,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9368,0.9990054368972778,0.0006,2.555619955062866
subend_withleak,1337,test,sUbend_021__f09,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9301,0.998235821723938,0.0,3.4038681983947754
subend_withleak,1337,test,sUbend_021__f10,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9599,0.9986894130706787,0.0,2.933748722076416
subend_withleak,1337,test,sUbend_021__f11,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9755,0.998593270778656,0.0,3.0394415855407715
subend_withleak,1337,test,sUbend_021__f12,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9719,0.9982564449310303,0.0,3.3838791847229004
subend_withleak,1337,test,sUbend_021__f13,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9731,0.9977790117263794,0.0,3.819338798522949
subend_withleak,1337,test,sUbend_021__f14,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9577,0.9971964955329895,0.0,4.291308403015137
subend_withleak,1337,test,sUbend_021__f15,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9393,0.996271014213562,0.0,4.949595928192139
subend_withleak,1337,test,sUbend_021__f16,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9319,0.9953172206878662,0.0,5.546994209289551
subend_withleak,1337,test,sUbend_021__f17,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9062,0.9942667484283447,0.0,6.138251304626465
subend_withleak,1337,test,sUbend_021__f18,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.877,0.9945530295372009,0.0,5.98291015625
subend_withleak,1337,test,sUbend_021__f19,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.874,0.9955874681472778,0.0,5.384468078613281
subend_withleak,1337,test,sUbend_021__f20,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.8867,0.9966797828674316,0.0,4.670260429382324
subend_withleak,1337,test,sUbend_021__f21,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9221,0.9973864555358887,0.0,4.143307209014893
subend_withleak,1337,test,sUbend_021__f22,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9407,0.9977889060974121,0.0,3.8108184337615967
subend_withleak,1337,test,sUbend_021__f23,15.624887309968472,306.6862225532532,nan,nan,nan,nan,0.9502,0.9980640411376953,0.0,3.565817356109619
