variant,split,n_frames,n_seeds,n_cases,max_speed_pred_mean,max_speed_true_mean,magnitude_ratio_mean,magnitude_ratio_median,magnitude_ratio_p10,magnitude_ratio_p90,dP_pred_mean_mmHg,dP_gt_mean_mmHg,dP_abs_err_mean_mmHg,dP_signed_err_mean_mmHg,corr_max_speed_pred_vs_true,corr_dP_pred_vs_gt
subend_withleak,val,225,3,75,1.1942199618286558,0.5531777562697728,3.7362030559786077,3.017314387216549,1.3069691248946842,7.608586520191709,6.819062395978739,2.284614147018457,4.583478897611552,4.534448248960285,0.791926221148517,0.7884101308368618
subend_withleak,test,225,3,75,1.553252321879069,0.8168254612882933,3.2460774714782428,3.0494363493551315,1.004009772904858,6.442011034210963,10.96983593006425,5.145002115428325,8.338992152309716,5.824833814635923,0.5548370457123434,0.48903327602898505
subend_leak_dir_only,val,225,3,75,1.4416901999049716,0.5531777562697728,5.017383411991049,4.316658959147397,1.2906337841963422,9.21202444328569,8.813480823031442,2.284614147018457,6.609701032802736,6.528866676012988,0.7484917698303347,0.6867438504195952
subend_leak_dir_only,test,225,3,75,1.5864325581656562,0.8168254612882933,3.920143912698983,3.148320100945409,0.8478370863756142,8.278199032728635,10.35482819183139,5.145002115428325,9.247515068836357,5.209826076403064,0.26589451135970155,0.17064099770845845
subend_leak_mag_only,val,225,3,75,1.0497642195224761,0.5531777562697728,3.477771870087739,2.621735728119438,1.0002512333580729,7.158507397222866,5.199052202888609,2.284614147018457,3.2999512111422296,2.9144380558701535,0.6390699971169441,0.5943870553725034
subend_leak_mag_only,test,225,3,75,1.3709288281864591,0.8168254612882933,2.961107008642546,2.5482677847149433,0.8135895129607377,5.839145077263391,8.389572015281436,5.145002115428325,7.070550084458919,3.2445698998531114,0.4856184863269618,0.3897743521751132
subend_noleak,val,225,3,75,0.4068412098619673,0.5531777562697728,1.6117704841939786,1.3037042168449064,0.2835127986117308,3.2336813563244515,0.6724665089763835,2.284614147018457,2.1975011049335036,-1.6121476380420727,0.007442835769217055,0.006376709178667981
subend_noleak,test,225,3,75,0.4190187602572971,0.8168254612882933,1.092799399441521,0.847528291950293,0.20026923081908596,2.368124189734902,0.7156220011409063,5.145002115428325,4.785533874114803,-4.42938011428742,-0.0018153858015980194,-0.0017211525526491208
