variant,resolution,seed,case,n_nodes,n_chunks,mesh_L,U_he,div_pred,div_true,div_analytical,helm_pred,helm_true
leak_mag_only,4x,777,wm_028_R16p9_L170p9_a11p3,1474880,6,0.0003516401990481285,0.020370087347497123,0.00942373007982507,2.996110700639002e-06,0.0,nan,1.563433592969482e-05
leak_mag_only,4x,777,wm_029_R15p7_L140p1_a07p1,1474880,6,0.0003277275482190352,0.012784953960216503,0.009883736954362633,1.8958840255480707e-06,0.0,nan,nan
leak_mag_only,4x,777,wm_030_R16p8_L186p3_a07p9,1474880,6,0.0003509913694044737,0.010799693218342598,0.011337452508309398,1.2654479673387065e-06,0.0,nan,nan
leak_mag_only,4x,777,wm_031_R09p4_L239p5_a10p9,1474880,6,0.00019569161991617957,0.0390050690437886,0.000875976100255643,4.770556228033033e-09,0.0,nan,nan
leak_mag_only,4x,777,wm_032_R12p2_L282p2_a06p3,1474880,6,0.0002549778620896646,0.03101596259779249,0.002826239947576729,1.311838712818254e-08,0.0,nan,nan
leak_mag_only,4x,777,wm_033_R16p9_L167p1_a02p1,1474880,6,0.0003522860684375669,0.5046759263311656,0.0002704623539514133,1.6372781207616755e-06,0.0,nan,nan
