variant,seed,split,n_cases,pred_bbox_std_x,pred_bbox_std_y,pred_bbox_std_z,pred_bbox_std_mean,pred_pca_std,true_bbox_std_mean,true_pca_std,pred_over_true_bbox_std_ratio,pred_over_true_pca_std_ratio,peak_loc_mm_mean,peak_loc_mm_median
noleak,1337,test,5,0.08853986315082893,0.25121257727128143,0.2722687232146974,0.2040070545456026,0.2204773917608781,0.14189239945981047,0.17899688661212343,1.4377588603918525,1.231738696319566,72.75588855743408,36.74911880493164
noleak,1337,val,4,0.18060305320728964,0.23577541020196283,0.014066252380741688,0.14348157192999803,0.443317744855278,0.23072568194553547,0.20150972771854583,0.6218708325840724,2.1999818563323754,106.27846956253052,122.57435989379883
noleak,2026,test,5,0.1835946456161096,0.10427535272371737,0.3105914497165034,0.19948714935211012,0.3033910136054584,0.14189239945981047,0.17899688661212343,1.405904404404781,1.694951344393438,60.23440856933594,38.17949676513672
noleak,2026,val,4,0.13658366343550893,0.20104190916613435,0.06366620370800177,0.13376392543654836,0.12386102246106667,0.23072568194553547,0.20150972771854583,0.5797530830058369,0.6146652266538059,74.97427558898926,68.60371971130371
noleak,777,test,5,0.13680818855934157,0.18866126853416354,0.20537130025090367,0.1769469191148029,0.229259781916206,0.14189239945981047,0.17899688661212343,1.2470500166918472,1.2808031818620373,41.58645248413086,37.17005920410156
noleak,777,val,4,0.1659270385642593,0.2386585729488013,0.0713511172535882,0.15864557625554962,0.12608025998106037,0.23072568194553547,0.20150972771854583,0.687593920701897,0.62567828068906,79.45916175842285,77.49820709228516
withleak,1337,test,5,0.1503617685482455,0.14656166365654805,0.09994829564462974,0.13229057594980778,0.33040111634699537,0.14189239945981047,0.17899688661212343,0.9323302478035668,1.8458483977040154,46.38415966033936,56.43459701538086
withleak,1337,val,4,0.1274092962196177,0.13745772895228145,0.12179929984786833,0.12888877500658916,0.22776897400537943,0.23072568194553547,0.20150972771854583,0.5586234437352939,1.130312549096938,64.65437841415405,29.96052646636963
withleak,2026,test,5,0.2170206642678962,0.0978648836634206,0.09348945305676158,0.13612500032935945,0.2918821905331156,0.14189239945981047,0.17899688661212343,0.9593537134306861,1.6306551251118044,52.13011474609375,36.40367889404297
withleak,2026,val,4,0.1666947387632727,0.23981433858062437,0.28088622575415717,0.2291317676993514,0.2427693666330487,0.23072568194553547,0.20150972771854583,0.99309173459693,1.2047525912601666,84.58648538589478,68.8387508392334
withleak,777,test,5,0.18944406641317932,0.14443607979667344,0.10172023843470425,0.14520012821485231,0.3065248164915299,0.14189239945981047,0.17899688661212343,1.0233115287896637,1.7124589275999678,43.18624963760376,56.79058837890625
withleak,777,val,4,0.09837253219622165,0.21673135045339048,0.14111496277926563,0.1520729484762926,0.24046921849158925,0.23072568194553547,0.20150972771854583,0.6591071578767316,1.1933380150632689,71.09302759170532,40.06826400756836
