variant,seed,split,case,n_nodes,n_moving,angle_median,angle_mean,angle_p90,spearman_true_mag_radius,spearman_pred_mag_radius,mag_ratio_median,mag_ratio_p90,div_true_median,div_true_mean,div_pred_median,div_pred_mean,umean,wall_frac,mesh_L
noleak_centerline,1337,test,0007_H_AO_H_3D_RIGID,560868,381060,39.33219528198242,55.030738830566406,138.61178588867188,0.4529117736650832,0.15562831028361776,0.6649690270423889,1.4234274625778198,0.0007353163091465831,0.0014457572251558304,0.0009468619246035814,0.0019806870259344578,0.3152245581150055,0.1507342191032471,0.00018888486302164463
noleak_centerline,1337,test,0017_H_AO_COA_3D_RIGID,557492,380993,40.11355972290039,50.863224029541016,117.23921203613281,0.5379569657496619,0.1029572405969468,1.1291025876998901,2.3589909076690674,0.0006798940594308078,0.001321860821917653,0.0012168666580691934,0.003247738815844059,0.21421021223068237,0.14574200167894785,0.0001833600373472542
noleak_centerline,1337,test,0020_H_AO_COA_3D_RIGID,322504,207177,30.787172317504883,43.482906341552734,100.6469497680664,0.35717064087089784,0.10591952071875721,0.7481819987297058,1.5235848426818848,0.0008495232323184609,0.00189350510481745,0.001289100619032979,0.004379850812256336,0.41089072823524475,0.19699600625108526,0.0002076576179970371
noleak_centerline,1337,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,33.90788650512695,50.848052978515625,125.47066497802734,0.5955005199491256,0.16649953773027187,0.6413177251815796,1.538049578666687,6.041183269189787e-07,0.00015491734666284174,1.1244454753978061e-06,0.000485754368128255,0.6181572079658508,0.15367222871836364,0.00013044805783162767
noleak_centerline,1337,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,28.142986297607422,47.916263580322266,128.99090576171875,0.15934695019307002,0.20723918527532253,1.074458122253418,3.1515562534332275,0.0006325866561383009,0.005831016693264246,0.004152633249759674,0.013699477538466454,0.303988516330719,0.11705300087708308,0.0003231259117046775
noleak_centerline,1337,val,0002_H_AO_SVD_3D_RIGID,354855,266825,37.34115982055664,53.835174560546875,124.7682876586914,0.3376949064659261,0.36817949334904204,1.156274676322937,2.5847785472869873,7.897576142568141e-05,0.0002940235426649451,0.0005669715465046465,0.0020324301440268755,0.23082737624645233,0.060089332262473406,0.00016229678873188986
noleak_centerline,1337,val,0005_H_AO_SVD_3D_RIGID,354274,252557,56.05793762207031,61.54863739013672,121.41846466064453,0.06061426333878172,0.06322974088441226,2.591000556945801,9.277836799621582,9.443952149013057e-05,0.0008413105388171971,0.0008475828217342496,0.009111715480685234,0.09301868826150894,0.10889029395326781,0.00033450571882834106
noleak_centerline,1337,val,0234_H_AO_COA_3D_FSI_REST,274329,189370,51.28211212158203,67.91851806640625,147.90911865234375,0.5588580644775368,0.05428764040638975,1.404990553855896,6.315553665161133,1.0881193702516612e-05,0.0003443043678998947,4.4213222281541675e-05,0.0034643399994820356,0.18763655424118042,0.13712002741234067,0.00017261165080116665
noleak_centerline,1337,val,0241_H_AO_COA_3D_FSI_REST,318163,222127,68.98765563964844,72.55510711669922,124.84774780273438,0.3000220819510812,0.47971265976944955,0.9482887387275696,2.690742254257202,0.0005502899293787777,0.003980859648436308,0.004290747456252575,0.01161927543580532,0.2907840311527252,0.1273058149439124,0.00030131236144384423
noleak_centerline,2026,test,0007_H_AO_H_3D_RIGID,560868,381060,57.35834884643555,60.491146087646484,117.6458969116211,0.4529117736650832,0.19491495305492257,0.5675978660583496,1.1379307508468628,0.0007353163091465831,0.0014457572251558304,0.0005568404449149966,0.0014915094943717122,0.3152245581150055,0.1507342191032471,0.00018888486302164463
noleak_centerline,2026,test,0017_H_AO_COA_3D_RIGID,557492,380993,44.488468170166016,55.566688537597656,110.1435546875,0.5379569657496619,0.010530440023809547,0.8833774328231812,2.027785062789917,0.0006798940594308078,0.001321860821917653,0.0006487196660600603,0.0020340040791779757,0.21421021223068237,0.14574200167894785,0.0001833600373472542
noleak_centerline,2026,test,0020_H_AO_COA_3D_RIGID,322504,207177,37.78373336791992,47.81205368041992,103.62549591064453,0.35717064087089784,0.07703245375050272,0.5582382082939148,1.1305230855941772,0.0008495232323184609,0.00189350510481745,0.0006614560843445361,0.0025885591749101877,0.41089072823524475,0.19699600625108526,0.0002076576179970371
noleak_centerline,2026,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,37.492942810058594,45.66638946533203,93.27161407470703,0.5955005199491256,0.18342373624741798,0.43687111139297485,1.5945594310760498,6.041183269189787e-07,0.00015491734666284174,4.6874779968675284e-07,0.0003557818999979645,0.6181572079658508,0.15367222871836364,0.00013044805783162767
noleak_centerline,2026,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,46.91642761230469,57.545040130615234,124.47853088378906,0.15934695019307002,0.18175822534106845,1.1001272201538086,3.081669807434082,0.0006325866561383009,0.005831016693264246,0.0026440504007041454,0.009509573690593243,0.303988516330719,0.11705300087708308,0.0003231259117046775
noleak_centerline,2026,val,0002_H_AO_SVD_3D_RIGID,354855,266825,36.806636810302734,45.04569625854492,105.49978637695312,0.3376949064659261,0.3933434461346138,1.0630149841308594,2.425300359725952,7.897576142568141e-05,0.0002940235426649451,0.00023185129975900054,0.0009017917327582836,0.23082737624645233,0.060089332262473406,0.00016229678873188986
noleak_centerline,2026,val,0005_H_AO_SVD_3D_RIGID,354274,252557,63.7550163269043,65.2376480102539,114.80706787109375,0.06061426333878172,0.27614074771859276,2.940573215484619,8.231837272644043,9.443952149013057e-05,0.0008413105388171971,0.0004461690550670028,0.006805727258324623,0.09301868826150894,0.10889029395326781,0.00033450571882834106
noleak_centerline,2026,val,0234_H_AO_COA_3D_FSI_REST,274329,189370,32.23164749145508,44.07223892211914,96.8857650756836,0.5588580644775368,0.2925653085931743,1.4022717475891113,6.527607440948486,1.0881193702516612e-05,0.0003443043678998947,1.7102862329920754e-05,0.0025024067144840956,0.18763655424118042,0.13712002741234067,0.00017261165080116665
noleak_centerline,2026,val,0241_H_AO_COA_3D_FSI_REST,318163,222127,76.10783386230469,75.94474029541016,124.36883544921875,0.3000220819510812,0.6282227176799203,0.6846415400505066,1.9381970167160034,0.0005502899293787777,0.003980859648436308,0.0014681355096399784,0.005269799381494522,0.2907840311527252,0.1273058149439124,0.00030131236144384423
noleak_centerline,777,test,0007_H_AO_H_3D_RIGID,560868,381060,38.78879928588867,52.87143325805664,124.98197174072266,0.4529117736650832,0.12179156521391547,0.6263617277145386,1.3220503330230713,0.0007353163091465831,0.0014457572251558304,0.001053723506629467,0.002169051207602024,0.3152245581150055,0.1507342191032471,0.00018888486302164463
noleak_centerline,777,test,0017_H_AO_COA_3D_RIGID,557492,380993,44.53224563598633,56.47175216674805,124.5808334350586,0.5379569657496619,0.07266362396015713,1.0094703435897827,2.294532537460327,0.0006798940594308078,0.001321860821917653,0.0015680091455578804,0.003928477875888348,0.21421021223068237,0.14574200167894785,0.0001833600373472542
noleak_centerline,777,test,0020_H_AO_COA_3D_RIGID,322504,207177,33.13808059692383,48.290283203125,116.02930450439453,0.35717064087089784,0.09310352967279263,0.715639054775238,1.3899794816970825,0.0008495232323184609,0.00189350510481745,0.0014894087798893452,0.004767406266182661,0.41089072823524475,0.19699600625108526,0.0002076576179970371
