variant,seed,split,case,n_nodes,n_moving,angle_median,angle_mean,angle_p90,spearman_true_mag_radius,spearman_pred_mag_radius,mag_ratio_median,mag_ratio_p90,div_true_median,div_true_mean,div_pred_median,div_pred_mean,umean,wall_frac,mesh_L
noleak,1337,test,0007_H_AO_H_3D_RIGID,560868,381060,38.315521240234375,54.845863342285156,127.26567840576172,0.4529117736650832,0.28931719500344566,0.6318385601043701,1.8040870428085327,0.0007353163091465831,0.0014457572251558304,0.0008041848777793348,0.001614707289263606,0.3152245581150055,0.1507342191032471,0.00018888486302164463
noleak,1337,test,0017_H_AO_COA_3D_RIGID,557492,380993,37.365623474121094,51.323001861572266,126.68274688720703,0.5379569657496619,0.06753295144657649,1.3316911458969116,2.948244333267212,0.0006798940594308078,0.001321860821917653,0.0012471305672079325,0.003338610054925084,0.21421021223068237,0.14574200167894785,0.0001833600373472542
noleak,1337,test,0020_H_AO_COA_3D_RIGID,322504,207177,26.328413009643555,36.630821228027344,79.10078430175781,0.35717064087089784,0.07068188064648549,0.5376859307289124,1.1622626781463623,0.0008495232323184609,0.00189350510481745,0.0007762006134726107,0.0019700455013662577,0.41089072823524475,0.19699600625108526,0.0002076576179970371
noleak,1337,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,42.682594299316406,56.144615173339844,130.24575805664062,0.5955005199491256,-0.04020285383483264,0.5423527359962463,1.3575401306152344,6.041183269189787e-07,0.00015491734666284174,4.872612748840766e-07,0.0004121327365282923,0.6181572079658508,0.15367222871836364,0.00013044805783162767
noleak,1337,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,34.81547927856445,54.3444938659668,139.97494506835938,0.15934695019307002,0.10897661572004434,1.5960323810577393,4.111258506774902,0.0006325866561383009,0.005831016693264246,0.001683225971646607,0.009798023849725723,0.303988516330719,0.11705300087708308,0.0003231259117046775
noleak,2026,test,0007_H_AO_H_3D_RIGID,560868,381060,36.309478759765625,49.17767333984375,107.09610748291016,0.4529117736650832,0.2895881988575464,0.5013924241065979,1.4269225597381592,0.0007353163091465831,0.0014457572251558304,0.0006207830156199634,0.0013268435141071677,0.3152245581150055,0.1507342191032471,0.00018888486302164463
noleak,2026,test,0017_H_AO_COA_3D_RIGID,557492,380993,42.00054168701172,52.488094329833984,121.69879150390625,0.5379569657496619,0.05555377106344424,1.1232216358184814,2.367823839187622,0.0006798940594308078,0.001321860821917653,0.0009166295640170574,0.0027047283947467804,0.21421021223068237,0.14574200167894785,0.0001833600373472542
noleak,2026,test,0020_H_AO_COA_3D_RIGID,322504,207177,28.682069778442383,38.05665588378906,76.06538391113281,0.35717064087089784,0.036657720829874195,0.5199006199836731,1.098641037940979,0.0008495232323184609,0.00189350510481745,0.0006129653193056583,0.0016129640862345695,0.41089072823524475,0.19699600625108526,0.0002076576179970371
noleak,2026,test,0225_H_AO_COA_3D_FSI_REST,180449,122175,41.690616607666016,56.42378234863281,142.4488983154297,0.5955005199491256,0.11381686741413892,0.5810874700546265,1.3904248476028442,6.041183269189787e-07,0.00015491734666284174,5.21255969943013e-07,0.00038357594166882336,0.6181572079658508,0.15367222871836364,0.00013044805783162767
noleak,2026,test,0226_H_AO_COA_3D_FSI_REST,478860,338246,29.508522033691406,50.471195220947266,137.8946533203125,0.15934695019307002,0.31097771158681586,1.7760381698608398,4.476400375366211,0.0006325866561383009,0.005831016693264246,0.0018002897268161178,0.011098213493824005,0.303988516330719,0.11705300087708308,0.0003231259117046775
