variant,seed,split,case_id,n_nodes,peak_loc_mm,pred_world_x,pred_world_y,pred_world_z,true_world_x,true_world_y,true_world_z,pred_bbox_x,pred_bbox_y,pred_bbox_z,true_bbox_x,true_bbox_y,true_bbox_z,pred_pca_norm,true_pca_norm,aorta_length_mm
noleak,1337,test,0007_H_AO_H_3D_RIGID,560868,36.74911880493164,-0.01032053679227829,-0.0029875519685447216,0.07972390949726105,0.0009825309971347451,0.02222740463912487,0.055496979504823685,0.34062880277633667,0.45022422075271606,0.6598849296569824,0.43710166215896606,0.8590094447135925,0.5715276002883911,0.636547327041626,0.571070671081543,278.0772705078125
noleak,1337,test,0017_H_AO_COA_3D_RIGID,557492,20.499191284179688,0.013329509645700455,0.001974014099687338,0.050684671849012375,0.011491436511278152,-0.004452886991202831,0.03130599111318588,0.46473127603530884,0.2933658957481384,0.721379280090332,0.4484070837497711,0.18182328343391418,0.6463367938995361,0.28630390763282776,0.36392033100128174,258.7390441894531
noleak,1337,test,0020_H_AO_COA_3D_RIGID,322504,8.3032808303833,0.0008125220192596316,-0.02667219005525112,0.084287129342556,-0.002353827003389597,-0.021989155560731888,0.09036889672279358,0.3688458204269409,0.14286679029464722,0.634290337562561,0.33883151412010193,0.23230741918087006,0.6676641702651978,0.607291042804718,0.6421206593513489,185.21702575683594
noleak,1337,test,0225_H_AO_COA_3D_FSI_REST,180449,88.54676055908203,-0.00694667361676693,-0.00623339181765914,-0.06539587676525116,0.0032901628874242306,-0.02952641434967518,0.0194166898727417,0.2919117212295532,0.8662508726119995,0.24599869549274445,0.41640421748161316,0.5265591144561768,0.7028605937957764,0.7679634690284729,0.291360467672348,185.0791473388672
noleak,1337,test,0226_H_AO_COA_3D_FSI_REST,478860,209.68109130859375,0.003654089756309986,-0.00947707798331976,-0.08252450823783875,0.008452586829662323,-0.035819586366415024,0.12543992698192596,0.5372225642204285,0.6112666726112366,0.028462711721658707,0.6265400648117065,0.33314213156700134,0.8296464085578918,0.9579993486404419,0.15641948580741882,260.1051025390625
noleak,1337,val,0002_H_AO_SVD_3D_RIGID,354855,150.18011474609375,0.00010355699487263337,-0.031216606497764587,0.010861133225262165,0.020775623619556427,0.0006489999359473586,0.1561584621667862,0.4893079102039337,0.1253184974193573,0.02106747217476368,0.741871178150177,0.8015081882476807,0.8134366273880005,0.029943767935037613,0.8339390754699707,186.31173706054688
noleak,1337,val,0005_H_AO_SVD_3D_RIGID,354274,29.785043716430664,-0.016305172815918922,0.003211683128029108,-0.05177515000104904,-0.020898595452308655,-0.010561738163232803,-0.025768570601940155,0.31287118792533875,0.3418005406856537,0.05686807259917259,0.25531497597694397,0.20074094831943512,0.16709274053573608,0.9405076503753662,0.853865385055542,237.56398010253906
noleak,1337,val,0234_H_AO_COA_3D_FSI_REST,274329,132.1737518310547,0.03680640459060669,0.048715755343437195,-0.0020141135901212692,0.0539039708673954,0.041949763894081116,0.12887436151504517,0.3464486002922058,0.7124521136283875,0.029422573745250702,0.7356545329093933,0.6454179883003235,0.7485889196395874,0.9405878782272339,0.3515124022960663,184.22119140625
noleak,1337,val,0241_H_AO_COA_3D_FSI_REST,318163,112.97496795654297,0.012355441227555275,0.011316908523440361,0.0018862364813685417,0.009715110994875431,0.012377037666738033,0.11482537537813187,0.770887017250061,0.6409425735473633,0.04673171043395996,0.7292318344116211,0.6536896228790283,0.7190587520599365,0.07925242185592651,0.6516221165657043,174.79600524902344
noleak,2026,test,0007_H_AO_H_3D_RIGID,560868,36.74911880493164,-0.01032053679227829,-0.0029875519685447216,0.07972390949726105,0.0009825309971347451,0.02222740463912487,0.055496979504823685,0.34062880277633667,0.45022422075271606,0.6598849296569824,0.43710166215896606,0.8590094447135925,0.5715276002883911,0.636547327041626,0.571070671081543,278.0772705078125
noleak,2026,test,0017_H_AO_COA_3D_RIGID,557492,157.16856384277344,0.011759791523218155,-0.0003759539977181703,-0.1258094757795334,0.011491436511278152,-0.004452886991202831,0.03130599111318588,0.4507903754711151,0.25258082151412964,0.03791966661810875,0.4484070837497711,0.18182328343391418,0.6463367938995361,0.9635661244392395,0.36392033100128174,258.7390441894531
noleak,2026,test,0020_H_AO_COA_3D_RIGID,322504,10.219181060791016,-0.00293609406799078,-0.013447894714772701,0.09594917297363281,-0.002353827003389597,-0.021989155560731888,0.09036889672279358,0.33331212401390076,0.39543578028678894,0.6982859969139099,0.33883151412010193,0.23230741918087006,0.6676641702651978,0.680077075958252,0.6421206593513489,185.21702575683594
noleak,2026,test,0225_H_AO_COA_3D_FSI_REST,180449,58.855682373046875,-0.021461673080921173,-0.05100265145301819,-0.029472051188349724,0.0032901628874242306,-0.02952641434967518,0.0194166898727417,0.11539147049188614,0.21336224675178528,0.4395104646682739,0.41640421748161316,0.5265591144561768,0.7028605937957764,0.5383057594299316,0.291360467672348,185.0791473388672
noleak,2026,test,0226_H_AO_COA_3D_FSI_REST,478860,38.17949676513672,0.011311705224215984,-0.02290017530322075,0.1612531691789627,0.008452586829662323,-0.035819586366415024,0.12543992698192596,0.679758608341217,0.46954545378685,0.9676170945167542,0.6265400648117065,0.33314213156700134,0.8296464085578918,0.03354213759303093,0.15641948580741882,260.1051025390625
noleak,2026,val,0002_H_AO_SVD_3D_RIGID,354855,51.30056381225586,-0.0021249460987746716,-0.013997960835695267,0.11265239119529724,0.020775623619556427,0.0006489999359473586,0.1561584621667862,0.4620809257030487,0.4906989634037018,0.5761792063713074,0.741871178150177,0.8015081882476807,0.8134366273880005,0.5767462849617004,0.8339390754699707,186.31173706054688
noleak,2026,val,0005_H_AO_SVD_3D_RIGID,354274,111.38909912109375,-0.0181789118796587,0.01796763949096203,0.0818706825375557,-0.020898595452308655,-0.010561738163232803,-0.025768570601940155,0.28939300775527954,0.49292275309562683,0.6233042478561401,0.25531497597694397,0.20074094831943512,0.16709274053573608,0.38789603114128113,0.853865385055542,237.56398010253906
noleak,2026,val,0234_H_AO_COA_3D_FSI_REST,274329,78.5360336303711,0.048029471188783646,-0.015266813337802887,0.07539854943752289,0.0539039708673954,0.041949763894081116,0.12887436151504517,0.6019284725189209,0.07854405790567398,0.4547662138938904,0.7356545329093933,0.6454179883003235,0.7485889196395874,0.3933890759944916,0.3515124022960663,184.22119140625
noleak,2026,val,0241_H_AO_COA_3D_FSI_REST,318163,58.67140579223633,-0.019623106345534325,-0.033540189266204834,0.09307195991277695,0.009715110994875431,0.012377037666738033,0.11482537537813187,0.26637688279151917,0.10157610476016998,0.5895605683326721,0.7292318344116211,0.6536896228790283,0.7190587520599365,0.6785425543785095,0.6516221165657043,174.79600524902344
noleak,777,test,0007_H_AO_H_3D_RIGID,560868,37.17005920410156,-0.009011882357299328,-0.004126594867557287,0.07972902059555054,0.0009825309971347451,0.02222740463912487,0.055496979504823685,0.35179829597473145,0.4317580461502075,0.6599035263061523,0.43710166215896606,0.8590094447135925,0.5715276002883911,0.6366838812828064,0.571070671081543,278.0772705078125
